TnT Guild Bank Inventory as of 01/01/2020 @ 11:00AM
ITEM,QUANTITY,LINK
Blood of the Mountain,11,https://classic.wowhead.com/item=11382
Core Leather,126,https://classic.wowhead.com/item=17012
Dark Iron Bar,43,https://classic.wowhead.com/item=11371
Dark Iron Ore,48,https://classic.wowhead.com/item=11370
Elemental Fire,9,https://classic.wowhead.com/item=7068
Essence of Earth,69,https://classic.wowhead.com/item=7076
Essence of Fire,70,https://classic.wowhead.com/item=7078
Fiery Core,86,https://classic.wowhead.com/item=17010
Gold,3292
Greater Fire Protection Potion,22,https://classic.wowhead.com/item=13457
Lava Core,65,https://classic.wowhead.com/item=17011
Onyxia Scale Cloak,40,https://classic.wowhead.com/item=15138
Peridot Circle of Nature Resistance,1,https://classic.wowhead.com/item=11979
Scale of Onyxia,35,https://classic.wowhead.com/item=15410
Sulfuron Ingot,1,https://classic.wowhead.com/item=17203
